Node{identificator='77_30_59', x='956', y='715', raw='4', id='10000', cor='-15267288', connected='96_28_22', minorisWay=''}
Node{identificator='45_54_53', x='870', y='788', raw='4', id='156.10675', cor='-7457346', connected='63_45_13', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66'}
Node{identificator='63_45_13', x='876', y='810', raw='4', id='178.91026', cor='-12264087', connected='69_19_11', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53'}
Node{identificator='69_19_11', x='885', y='832', raw='4', id='202.68', cor='-3354393', connected='58_53_38', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13'}
Node{identificator='58_53_38', x='862', y='840', raw='4', id='227.03159', cor='-10540761', connected='84_66_82', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11'}
Node{identificator='84_66_82', x='832', y='748', raw='4', id='323.79935', cor='-6563323', connected='33_35_60', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38'}
Node{identificator='33_35_60', x='832', y='739', raw='4', id='332.79935', cor='-4622006', connected='94_47_11', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82'}
Node{identificator='94_47_11', x='852', y='714', raw='4', id='364.81497', cor='-14469468', connected='38_53_97', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60'}
Node{identificator='38_53_97', x='861', y='710', raw='4', id='374.66382', cor='-8939954', connected='82_11_85', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11'}
Node{identificator='82_11_85', x='869', y='715', raw='4', id='384.0978', cor='-8449834', connected='48_76_24', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97'}
Node{identificator='48_76_24', x='865', y='729', raw='4', id='398.65802', cor='-15298860', connected='29_69_38', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85'}
Node{identificator='29_69_38', x='841', y='764', raw='4', id='441.09622', cor='-15242909', connected='51_57_63', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24'}
Node{identificator='51_57_63', x='813', y='801', raw='4', id='487.49664', cor='-14756225', connected='81_36_82', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38'}
Node{identificator='81_36_82', x='788', y='832', raw='4', id='527.3213', cor='-7741422', connected='91_27_93', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63'}
Node{identificator='91_27_93', x='774', y='843', raw='4', id='545.1258', cor='-1149561', connected='76_40_66', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82'}
Node{identificator='76_40_66', x='734', y='860', raw='4', id='588.58844', cor='-643177', connected='45_22_31', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93'}
Node{identificator='45_22_31', x='673', y='883', raw='4', id='653.78046', cor='-16524567', connected='83_37_37', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66'}
Node{identificator='83_37_37', x='485', y='948', raw='4', id='852.7001', cor='-8664301', connected='30_71_81', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31'}
Node{identificator='30_71_81', x='433', y='966', raw='4', id='907.72736', cor='-4220578', connected='87_79_62', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37'}
Node{identificator='87_79_62', x='404', y='979', raw='4', id='939.5079', cor='-3586652', connected='92_38_77', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81'}
Node{identificator='92_38_77', x='376', y='995', raw='4', id='971.7569', cor='-5155408', connected='62_39_17', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62'}
Node{identificator='62_39_17', x='340', y='1023', raw='4', id='1017.3639', cor='-6654334', connected='56_44_88', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77'}
Node{identificator='56_44_88', x='284', y='1071', raw='4', id='1091.1202', cor='-8622608', connected='91_41_26', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17'}
Node{identificator='91_41_26', x='251', y='1096', raw='4', id='1132.5208', cor='-7764937', connected='80_47_10', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88'}
Node{identificator='80_47_10', x='201', y='1137', raw='4', id='1197.1814', cor='-10390244', connected='95_18_35', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26'}
