Node{identificator='18_34_19', x='211', y='690', raw='5', id='10000', cor='-4196306', connected='92_23_29', minorisWay=''}
Node{identificator='31_68_67', x='798', y='364', raw='5', id='817.9364', cor='-11555395', connected='42_90_11', minorisWay='18_34_19 92_23_29 63_13_65 41_84_53 99_63_93 11_66_63 10_90_73 95_17_45 31_11_42 62_64_81 73_35_86 29_69_45 12_88_45 70_13_45 15_32_74 51_55_25 83_36_65 22_52_38 74_25_35'}
Node{identificator='93_43_43', x='918', y='430', raw='5', id='954.9046', cor='-2780460', connected='54_33_22 60_63_48', minorisWay='18_34_19 92_23_29 63_13_65 41_84_53 99_63_93 11_66_63 10_90_73 95_17_45 31_11_42 62_64_81 73_35_86 29_69_45 12_88_45 70_13_45 15_32_74 51_55_25 83_36_65 22_52_38 74_25_35 31_68_67 42_90_11 14_59_55 17_78_97'}
Node{identificator='67_76_51', x='663', y='574', raw='5', id='557.55066', cor='-14393690', connected='18_33_65 93_75_77', minorisWay='18_34_19 92_23_29 46_64_27 42_73_87 68_35_88 81_61_63 65_59_56 72_97_77 88_38_20 56_97_18 42_22_97 98_14_52'}
Node{identificator='18_33_65', x='722', y='602', raw='5', id='622.8576', cor='-353433', connected='68_23_63', minorisWay='18_34_19 92_23_29 46_64_27 42_73_87 68_35_88 81_61_63 65_59_56 72_97_77 88_38_20 56_97_18 42_22_97 98_14_52 67_76_51'}
Node{identificator='68_23_63', x='749', y='621', raw='5', id='655.87274', cor='-2978184', connected='53_10_75 36_31_68', minorisWay='18_34_19 92_23_29 46_64_27 42_73_87 68_35_88 81_61_63 65_59_56 72_97_77 88_38_20 56_97_18 42_22_97 98_14_52 67_76_51 18_33_65'}
Node{identificator='53_10_75', x='769', y='634', raw='5', id='679.72644', cor='-9619083', connected='92_74_78', minorisWay='18_34_19 92_23_29 46_64_27 42_73_87 68_35_88 81_61_63 65_59_56 72_97_77 88_38_20 56_97_18 42_22_97 98_14_52 67_76_51 18_33_65 68_23_63'}
Node{identificator='92_74_78', x='820', y='672', raw='5', id='743.3268', cor='-6368513', connected='26_33_86', minorisWay='18_34_19 92_23_29 46_64_27 42_73_87 68_35_88 81_61_63 65_59_56 72_97_77 88_38_20 56_97_18 42_22_97 98_14_52 67_76_51 18_33_65 68_23_63 53_10_75'}
Node{identificator='26_33_86', x='850', y='690', raw='5', id='778.3125', cor='-7500385', connected='71_16_81', minorisWay='18_34_19 92_23_29 46_64_27 42_73_87 68_35_88 81_61_63 65_59_56 72_97_77 88_38_20 56_97_18 42_22_97 98_14_52 67_76_51 18_33_65 68_23_63 53_10_75 92_74_78'}
Node{identificator='71_16_81', x='876', y='702', raw='5', id='806.9481', cor='-16537945', connected='27_40_58 55_50_60', minorisWay='18_34_19 92_23_29 46_64_27 42_73_87 68_35_88 81_61_63 65_59_56 72_97_77 88_38_20 56_97_18 42_22_97 98_14_52 67_76_51 18_33_65 68_23_63 53_10_75 92_74_78 26_33_86'}
Node{identificator='98_98_73', x='970', y='751', raw='5', id='913.0088', cor='-11323707', connected='43_79_28 16_37_19', minorisWay='18_34_19 92_23_29 46_64_27 42_73_87 68_35_88 81_61_63 65_59_56 72_97_77 88_38_20 56_97_18 42_22_97 98_14_52 67_76_51 18_33_65 68_23_63 53_10_75 92_74_78 26_33_86 71_16_81 55_50_60'}
Node{identificator='43_79_28', x='1004', y='768', raw='5', id='951.022', cor='-12165192', connected='46_71_21', minorisWay='18_34_19 92_23_29 46_64_27 42_73_87 68_35_88 81_61_63 65_59_56 72_97_77 88_38_20 56_97_18 42_22_97 98_14_52 67_76_51 18_33_65 68_23_63 53_10_75 92_74_78 26_33_86 71_16_81 55_50_60 98_98_73'}
Node{identificator='46_71_21', x='1049', y='809', raw='5', id='1011.8989', cor='-8682555', connected='27_45_56', minorisWay='18_34_19 92_23_29 46_64_27 42_73_87 68_35_88 81_61_63 65_59_56 72_97_77 88_38_20 56_97_18 42_22_97 98_14_52 67_76_51 18_33_65 68_23_63 53_10_75 92_74_78 26_33_86 71_16_81 55_50_60 98_98_73 43_79_28'}
Node{identificator='62_94_71', x='1115', y='865', raw='5', id='1041.2539', cor='-11020900', connected='35_32_60', minorisWay='18_34_19 92_23_29 46_64_27 56_20_22 70_14_15 41_23_58 64_15_84 64_50_23 26_17_48 66_86_85 25_46_54 16_47_69 89_44_91 91_19_98 92_40_86 12_19_38 11_91_50 76_52_83 74_39_61 90_13_80 15_64_33 12_96_63 16_37_19 56_90_67 25_57_91 27_45_56'}
Node{identificator='35_32_60', x='1140', y='875', raw='5', id='1068.1797', cor='-6432764', connected='14_99_16', minorisWay='18_34_19 92_23_29 46_64_27 56_20_22 70_14_15 41_23_58 64_15_84 64_50_23 26_17_48 66_86_85 25_46_54 16_47_69 89_44_91 91_19_98 92_40_86 12_19_38 11_91_50 76_52_83 74_39_61 90_13_80 15_64_33 12_96_63 16_37_19 56_90_67 25_57_91 27_45_56 62_94_71'}
